sock_id,pattern,dominant_color,fabric,foot,size_band,temperature_c,spin_cycle_rpm,static_cling_score,pair_probability,split
sock-00855,dots,charcoal,polyblend,left,xl,31.5,1365,0.95,0.610,train
sock-00856,stripes,teal,bamboo,right,small,33.4,1388,0.24,0.610,train
sock-00857,tiny-stars,white,wool,ambiguous,medium,35.3,1411,0.53,0.350,train
sock-00858,ribbed,coral,cotton,left,large,37.2,1434,0.82,0.800,train
sock-00859,heather,lavender,modal,right,xl,39.1,1457,0.11,0.740,train
sock-00860,chevron,navy,linen,ambiguous,small,41.0,1480,0.40,0.770,train
sock-00861,argyle,yellow,polyblend,left,medium,42.9,603,0.69,0.570,train
sock-00862,plain,black,bamboo,right,large,44.8,626,0.98,0.780,train
sock-00863,dots,green,wool,ambiguous,xl,46.7,649,0.27,0.430,train
sock-00864,stripes,burgundy,cotton,left,small,48.6,672,0.56,0.810,train
sock-00865,tiny-stars,charcoal,modal,right,medium,50.5,695,0.85,0.750,train
sock-00866,ribbed,teal,linen,ambiguous,large,52.4,718,0.14,0.690,train
sock-00867,heather,white,polyblend,left,xl,54.3,741,0.43,0.560,train
sock-00868,chevron,coral,bamboo,right,small,56.2,764,0.72,0.630,train
sock-00869,argyle,lavender,wool,ambiguous,medium,58.1,787,0.01,0.390,train
sock-00870,plain,navy,cotton,left,large,60.0,810,0.30,0.980,train
sock-00871,dots,yellow,modal,right,xl,61.9,833,0.59,0.760,train
sock-00872,stripes,black,linen,ambiguous,small,63.8,856,0.88,0.790,train
sock-00873,tiny-stars,green,polyblend,left,medium,65.7,879,0.17,0.640,train
sock-00874,ribbed,burgundy,bamboo,right,large,67.6,902,0.46,0.640,train
sock-00875,heather,charcoal,wool,ambiguous,xl,69.5,925,0.75,0.450,train
sock-00876,chevron,teal,cotton,left,small,71.4,948,0.04,0.830,train
sock-00877,argyle,white,modal,right,medium,24.3,971,0.33,0.650,train
sock-00878,plain,coral,linen,ambiguous,large,26.2,994,0.62,0.780,train
sock-00879,dots,lavender,polyblend,left,xl,28.1,1017,0.91,0.650,train
sock-00880,stripes,navy,bamboo,right,small,30.0,1040,0.20,0.740,train
sock-00881,tiny-stars,yellow,wool,ambiguous,medium,31.9,1063,0.49,0.460,train
sock-00882,ribbed,black,cotton,left,large,33.8,1086,0.78,0.930,train
sock-00883,heather,green,modal,right,xl,35.7,1109,0.07,0.780,train
sock-00884,chevron,burgundy,linen,ambiguous,small,37.6,1132,0.36,0.720,train
sock-00885,argyle,charcoal,polyblend,left,medium,39.5,1155,0.65,0.610,train
sock-00886,plain,teal,bamboo,right,large,41.4,1178,0.94,0.730,train
sock-00887,dots,white,wool,ambiguous,xl,43.3,1201,0.23,0.400,train
sock-00888,stripes,coral,cotton,left,small,45.2,1224,0.52,0.480,train
sock-00889,tiny-stars,lavender,modal,right,medium,47.1,1247,0.81,0.790,train
sock-00890,ribbed,navy,linen,ambiguous,large,49.0,1270,0.10,0.820,train
sock-00891,heather,yellow,polyblend,left,xl,50.9,1293,0.39,0.670,train
sock-00892,chevron,black,bamboo,right,small,52.8,1316,0.68,0.760,train
sock-00893,argyle,green,wool,ambiguous,medium,54.7,1339,0.97,0.430,train
sock-00894,plain,burgundy,cotton,left,large,56.6,1362,0.26,0.560,train
sock-00895,dots,charcoal,modal,right,xl,58.5,1385,0.55,0.800,train
sock-00896,stripes,teal,linen,ambiguous,small,60.4,1408,0.84,0.740,train
sock-00897,tiny-stars,white,polyblend,left,medium,62.3,1431,0.13,0.610,train
sock-00898,ribbed,coral,bamboo,right,large,64.2,1454,0.42,0.680,train
sock-00899,heather,lavender,wool,ambiguous,xl,66.1,1477,0.71,0.490,train
sock-00900,chevron,navy,cotton,left,small,68.0,600,0.00,0.590,train
sock-00901,argyle,yellow,modal,right,medium,69.9,623,0.29,0.760,train
sock-00902,plain,black,linen,ambiguous,large,71.8,646,0.58,0.910,train
sock-00903,dots,green,polyblend,left,xl,24.7,669,0.87,0.690,train
sock-00904,stripes,burgundy,bamboo,right,small,26.6,692,0.16,0.690,train
sock-00905,tiny-stars,charcoal,wool,ambiguous,medium,28.5,715,0.45,0.500,train
sock-00906,ribbed,teal,cotton,left,large,30.4,738,0.74,0.510,train
sock-00907,heather,white,modal,right,xl,32.3,761,0.03,0.750,train
sock-00908,chevron,coral,linen,ambiguous,small,34.2,784,0.32,0.760,train
sock-00909,argyle,lavender,polyblend,left,medium,36.1,807,0.61,0.650,train
sock-00910,plain,navy,bamboo,right,large,38.0,830,0.90,0.860,train
sock-00911,dots,yellow,wool,ambiguous,xl,39.9,853,0.19,0.510,train
sock-00912,stripes,black,cotton,left,small,41.8,876,0.48,0.610,train
sock-00913,tiny-stars,green,modal,right,medium,43.7,899,0.77,0.830,train
sock-00914,ribbed,burgundy,linen,ambiguous,large,45.6,922,0.06,0.770,train
sock-00915,heather,charcoal,polyblend,left,xl,47.5,945,0.35,0.710,train
sock-00916,chevron,teal,bamboo,right,small,49.4,968,0.64,0.710,train
sock-00917,argyle,white,wool,ambiguous,medium,51.3,991,0.93,0.400,train
sock-00918,plain,coral,cotton,left,large,53.2,1014,0.22,0.600,train
sock-00919,dots,lavender,modal,right,xl,55.1,1037,0.51,0.840,train
sock-00920,stripes,navy,linen,ambiguous,small,57.0,1060,0.80,0.870,train
sock-00921,tiny-stars,yellow,polyblend,left,medium,58.9,1083,0.09,0.720,train
sock-00922,ribbed,black,bamboo,right,large,60.8,1106,0.38,0.810,train
sock-00923,heather,green,wool,ambiguous,xl,62.7,1129,0.67,0.530,train
sock-00924,chevron,burgundy,cotton,left,small,64.6,1152,0.96,0.540,train
sock-00925,argyle,charcoal,modal,right,medium,66.5,1175,0.25,0.430,train
sock-00926,plain,teal,linen,ambiguous,large,68.4,1198,0.54,0.860,train
sock-00927,dots,white,polyblend,left,xl,70.3,1221,0.83,0.660,train
sock-00928,stripes,coral,bamboo,right,small,72.2,1244,0.12,0.730,train
sock-00929,tiny-stars,lavender,wool,ambiguous,medium,25.1,1267,0.41,0.540,train
sock-00930,ribbed,navy,cotton,left,large,27.0,1290,0.70,0.640,train
sock-00931,heather,yellow,modal,right,xl,28.9,1313,0.99,0.490,train
sock-00932,chevron,black,linen,ambiguous,small,30.8,1336,0.28,0.890,train
sock-00933,argyle,green,polyblend,left,medium,32.7,1359,0.57,0.690,train
sock-00934,plain,burgundy,bamboo,right,large,34.6,1382,0.86,0.810,train
sock-00935,dots,charcoal,wool,ambiguous,xl,36.5,1405,0.15,0.550,train
sock-00936,stripes,teal,cotton,left,small,38.4,1428,0.44,0.560,train
sock-00937,tiny-stars,white,modal,right,medium,40.3,1451,0.73,0.430,train
sock-00938,ribbed,coral,linen,ambiguous,large,42.2,1474,0.02,0.810,train
sock-00939,heather,lavender,polyblend,left,xl,44.1,1497,0.31,0.750,train
sock-00940,chevron,navy,bamboo,right,small,46.0,620,0.60,0.840,train
sock-00941,argyle,yellow,wool,ambiguous,medium,47.9,643,0.89,0.510,train
sock-00942,plain,black,cotton,left,large,49.8,666,0.18,0.730,train
sock-00943,dots,green,modal,right,xl,51.7,689,0.47,0.510,train
sock-00944,stripes,burgundy,linen,ambiguous,small,53.6,712,0.76,0.820,train
sock-00945,tiny-stars,charcoal,polyblend,left,medium,55.5,735,0.05,0.760,train
sock-00946,ribbed,teal,bamboo,right,large,57.4,758,0.34,0.760,train
sock-00947,heather,white,wool,ambiguous,xl,59.3,781,0.63,0.500,train
sock-00948,chevron,coral,cotton,left,small,61.2,804,0.92,0.580,train
sock-00949,argyle,lavender,modal,right,medium,63.1,827,0.21,0.470,train
sock-00950,plain,navy,linen,ambiguous,large,65.0,850,0.50,0.990,train
sock-00951,dots,yellow,polyblend,left,xl,66.9,873,0.79,0.770,train
sock-00952,stripes,black,bamboo,right,small,68.8,896,0.08,0.860,train
sock-00953,tiny-stars,green,wool,ambiguous,medium,70.7,919,0.37,0.580,train
sock-00954,ribbed,burgundy,cotton,left,large,72.6,942,0.66,0.590,train
sock-00955,heather,charcoal,modal,right,xl,25.5,965,0.95,0.530,train
sock-00956,chevron,teal,linen,ambiguous,small,27.4,988,0.24,0.840,train
sock-00957,argyle,white,polyblend,left,medium,29.3,1011,0.53,0.660,train
sock-00958,plain,coral,bamboo,right,large,31.2,1034,0.82,0.850,train
sock-00959,dots,lavender,wool,ambiguous,xl,33.1,1057,0.11,0.590,train
sock-00960,stripes,navy,cotton,left,small,35.0,1080,0.40,0.690,train
sock-00961,tiny-stars,yellow,modal,right,medium,36.9,1103,0.69,0.540,train
sock-00962,ribbed,black,linen,ambiguous,large,38.8,1126,0.98,0.570,train
sock-00963,heather,green,polyblend,left,xl,40.7,1149,0.27,0.790,train
sock-00964,chevron,burgundy,bamboo,right,small,42.6,1172,0.56,0.790,train
sock-00965,argyle,charcoal,wool,ambiguous,medium,44.5,1195,0.85,0.550,train
sock-00966,plain,teal,cotton,left,large,46.4,1218,0.14,0.680,train
sock-00967,dots,white,modal,right,xl,48.3,1241,0.43,0.480,train
sock-00968,stripes,coral,linen,ambiguous,small,50.2,1264,0.72,0.490,train
sock-00969,tiny-stars,lavender,polyblend,left,medium,52.1,1287,0.01,0.800,train
sock-00970,ribbed,navy,bamboo,right,large,54.0,1310,0.30,0.890,train
sock-00971,heather,yellow,wool,ambiguous,xl,55.9,1333,0.59,0.610,train
sock-00972,chevron,black,cotton,left,small,57.8,1356,0.88,0.710,train
sock-00973,argyle,green,modal,right,medium,59.7,1379,0.17,0.510,train
sock-00974,plain,burgundy,linen,ambiguous,large,61.6,1402,0.46,0.570,train
sock-00975,dots,charcoal,polyblend,left,xl,63.5,1425,0.75,0.810,train
sock-00976,stripes,teal,bamboo,right,small,65.4,1448,0.04,0.810,train
sock-00977,tiny-stars,white,wool,ambiguous,medium,67.3,1471,0.33,0.550,train
sock-00978,ribbed,coral,cotton,left,large,69.2,1494,0.62,0.630,train
sock-00979,heather,lavender,modal,right,xl,71.1,617,0.91,0.570,train
sock-00980,chevron,navy,linen,ambiguous,small,24.0,640,0.20,0.600,train
sock-00981,argyle,yellow,polyblend,left,medium,25.9,663,0.49,0.770,train
sock-00982,plain,black,bamboo,right,large,27.8,686,0.78,0.980,train
sock-00983,dots,green,wool,ambiguous,xl,29.7,709,0.07,0.630,train
sock-00984,stripes,burgundy,cotton,left,small,31.6,732,0.36,0.640,train
sock-00985,tiny-stars,charcoal,modal,right,medium,33.5,755,0.65,0.580,train
sock-00986,ribbed,teal,linen,ambiguous,large,35.4,778,0.94,0.520,train
sock-00987,heather,white,polyblend,left,xl,37.3,801,0.23,0.760,train
sock-00988,chevron,coral,bamboo,right,small,39.2,824,0.52,0.830,train
sock-00989,argyle,lavender,wool,ambiguous,medium,41.1,847,0.81,0.590,train
sock-00990,plain,navy,cotton,left,large,43.0,870,0.10,0.810,train
sock-00991,dots,yellow,modal,right,xl,44.9,893,0.39,0.590,train
sock-00992,stripes,black,linen,ambiguous,small,46.8,916,0.68,0.620,train
sock-00993,tiny-stars,green,polyblend,left,medium,48.7,939,0.97,0.840,train
sock-00994,ribbed,burgundy,bamboo,right,large,50.6,962,0.26,0.840,train
sock-00995,heather,charcoal,wool,ambiguous,xl,52.5,985,0.55,0.650,train
sock-00996,chevron,teal,cotton,left,small,54.4,1008,0.84,0.660,train
sock-00997,argyle,white,modal,right,medium,56.3,1031,0.13,0.480,train
sock-00998,plain,coral,linen,ambiguous,large,58.2,1054,0.42,0.610,train
sock-00999,dots,lavender,polyblend,left,xl,60.1,1077,0.71,0.480,train
sock-01000,stripes,navy,bamboo,right,small,62.0,1100,0.00,0.940,train
sock-01001,tiny-stars,yellow,wool,ambiguous,medium,63.9,1123,0.29,0.660,train
sock-01002,ribbed,black,cotton,left,large,65.8,1146,0.58,0.760,train
sock-01003,heather,green,modal,right,xl,67.7,1169,0.87,0.610,train
sock-01004,chevron,burgundy,linen,ambiguous,small,69.6,1192,0.16,0.550,train
sock-01005,argyle,charcoal,polyblend,left,medium,71.5,1215,0.45,0.440,train
sock-01006,plain,teal,bamboo,right,large,24.4,1238,0.74,0.930,train
sock-01007,dots,white,wool,ambiguous,xl,26.3,1261,0.03,0.600,train
sock-01008,stripes,coral,cotton,left,small,28.2,1284,0.32,0.680,train
sock-01009,tiny-stars,lavender,modal,right,medium,30.1,1307,0.61,0.620,train
sock-01010,ribbed,navy,linen,ambiguous,large,32.0,1330,0.90,0.650,train
sock-01011,heather,yellow,polyblend,left,xl,33.9,1353,0.19,0.500,train
sock-01012,chevron,black,bamboo,right,small,35.8,1376,0.48,0.960,train
sock-01013,argyle,green,wool,ambiguous,medium,37.7,1399,0.77,0.630,train
sock-01014,plain,burgundy,cotton,left,large,39.6,1422,0.06,0.760,train
sock-01015,dots,charcoal,modal,right,xl,41.5,1445,0.35,0.630,train
sock-01016,stripes,teal,linen,ambiguous,small,43.4,1468,0.64,0.570,train
sock-01017,tiny-stars,white,polyblend,left,medium,45.3,1491,0.93,0.440,train
sock-01018,ribbed,coral,bamboo,right,large,47.2,614,0.22,0.880,train
sock-01019,heather,lavender,wool,ambiguous,xl,49.1,637,0.51,0.690,train
sock-01020,chevron,navy,cotton,left,small,51.0,660,0.80,0.790,train
sock-01021,argyle,yellow,modal,right,medium,52.9,683,0.09,0.590,train
sock-01022,plain,black,linen,ambiguous,large,54.8,706,0.38,0.740,train
sock-01023,dots,green,polyblend,left,xl,56.7,729,0.67,0.520,train
sock-01024,stripes,burgundy,bamboo,right,small,58.6,752,0.96,0.890,train
sock-01025,tiny-stars,charcoal,wool,ambiguous,medium,60.5,775,0.25,0.700,train
sock-01026,ribbed,teal,cotton,left,large,62.4,798,0.54,0.710,train
sock-01027,heather,white,modal,right,xl,64.3,821,0.83,0.580,train
sock-01028,chevron,coral,linen,ambiguous,small,66.2,844,0.12,0.590,train
sock-01029,argyle,lavender,polyblend,left,medium,68.1,867,0.41,0.480,train
sock-01030,plain,navy,bamboo,right,large,70.0,890,0.70,0.990,train
sock-01031,dots,yellow,wool,ambiguous,xl,71.9,913,0.99,0.710,train
sock-01032,stripes,black,cotton,left,small,24.8,936,0.28,0.810,train
sock-01033,tiny-stars,green,modal,right,medium,26.7,959,0.57,0.660,train
sock-01034,ribbed,burgundy,linen,ambiguous,large,28.6,982,0.86,0.600,train
sock-01035,heather,charcoal,polyblend,left,xl,30.5,1005,0.15,0.540,train
sock-01036,chevron,teal,bamboo,right,small,32.4,1028,0.44,0.540,train
sock-01037,argyle,white,wool,ambiguous,medium,34.3,1051,0.73,0.600,train
sock-01038,plain,coral,cotton,left,large,36.2,1074,0.02,0.800,train
sock-01039,dots,lavender,modal,right,xl,38.1,1097,0.31,0.670,train
sock-01040,stripes,navy,linen,ambiguous,small,40.0,1120,0.60,0.700,train
sock-01041,tiny-stars,yellow,polyblend,left,medium,41.9,1143,0.89,0.550,train
sock-01042,ribbed,black,bamboo,right,large,43.8,1166,0.18,0.640,train
sock-01043,heather,green,wool,ambiguous,xl,45.7,1189,0.47,0.730,train
sock-01044,chevron,burgundy,cotton,left,small,47.6,1212,0.76,0.740,train
sock-01045,argyle,charcoal,modal,right,medium,49.5,1235,0.05,0.630,train
sock-01046,plain,teal,linen,ambiguous,large,51.4,1258,0.34,0.690,train
sock-01047,dots,white,polyblend,left,xl,53.3,1281,0.63,0.490,train
sock-01048,stripes,coral,bamboo,right,small,55.2,1304,0.92,0.560,train
sock-01049,tiny-stars,lavender,wool,ambiguous,medium,57.1,1327,0.21,0.740,train
sock-01050,ribbed,navy,cotton,left,large,59.0,1350,0.50,0.840,train
sock-01051,heather,yellow,modal,right,xl,60.9,1373,0.79,0.690,train
sock-01052,chevron,black,linen,ambiguous,small,62.8,1396,0.08,0.720,train
sock-01053,argyle,green,polyblend,left,medium,64.7,1419,0.37,0.520,train
sock-01054,plain,burgundy,bamboo,right,large,66.6,1442,0.66,0.640,train
sock-01055,dots,charcoal,wool,ambiguous,xl,68.5,1465,0.95,0.750,train
sock-01056,stripes,teal,cotton,left,small,70.4,1488,0.24,0.760,train
sock-01057,tiny-stars,white,modal,right,medium,72.3,611,0.53,0.630,train
sock-01058,ribbed,coral,linen,ambiguous,large,25.2,634,0.82,0.640,train
sock-01059,heather,lavender,polyblend,left,xl,27.1,657,0.11,0.580,train
sock-01060,chevron,navy,bamboo,right,small,29.0,680,0.40,0.670,train
sock-01061,argyle,yellow,wool,ambiguous,medium,30.9,703,0.69,0.710,train
sock-01062,plain,black,cotton,left,large,32.8,726,0.98,0.930,train
sock-01063,dots,green,modal,right,xl,34.7,749,0.27,0.710,train
sock-01064,stripes,burgundy,linen,ambiguous,small,36.6,772,0.56,0.650,train
sock-01065,tiny-stars,charcoal,polyblend,left,medium,38.5,795,0.85,0.590,train
sock-01066,ribbed,teal,bamboo,right,large,40.4,818,0.14,0.590,train
sock-01067,heather,white,wool,ambiguous,xl,42.3,841,0.43,0.700,train
sock-01068,chevron,coral,cotton,left,small,44.2,864,0.72,0.780,train
sock-01069,argyle,lavender,modal,right,medium,46.1,887,0.01,0.670,train
sock-01070,plain,navy,linen,ambiguous,large,48.0,910,0.30,0.820,train
sock-01071,dots,yellow,polyblend,left,xl,49.9,933,0.59,0.600,train
sock-01072,stripes,black,bamboo,right,small,51.8,956,0.88,0.690,train
sock-01073,tiny-stars,green,wool,ambiguous,medium,53.7,979,0.17,0.410,train
sock-01074,ribbed,burgundy,cotton,left,large,55.6,1002,0.46,0.790,train
sock-01075,heather,charcoal,modal,right,xl,57.5,1025,0.75,0.730,train
sock-01076,chevron,teal,linen,ambiguous,small,59.4,1048,0.04,0.670,train
sock-01077,argyle,white,polyblend,left,medium,61.3,1071,0.33,0.490,train
sock-01078,plain,coral,bamboo,right,large,63.2,1094,0.62,0.680,train
sock-01079,dots,lavender,wool,ambiguous,xl,65.1,1117,0.91,0.420,train
sock-01080,stripes,navy,cotton,left,small,67.0,1140,0.20,0.890,train
sock-01081,tiny-stars,yellow,modal,right,medium,68.9,1163,0.49,0.740,train
sock-01082,ribbed,black,linen,ambiguous,large,70.8,1186,0.78,0.770,train
sock-01083,heather,green,polyblend,left,xl,72.7,1209,0.07,0.620,train
sock-01084,chevron,burgundy,bamboo,right,small,25.6,1232,0.36,0.620,train
sock-01085,argyle,charcoal,wool,ambiguous,medium,27.5,1255,0.65,0.380,train
sock-01086,plain,teal,cotton,left,large,29.4,1278,0.94,0.880,train
sock-01087,dots,white,modal,right,xl,31.3,1301,0.23,0.680,train
sock-01088,stripes,coral,linen,ambiguous,small,33.2,1324,0.52,0.690,train
sock-01089,tiny-stars,lavender,polyblend,left,medium,35.1,1347,0.81,0.630,train
sock-01090,ribbed,navy,bamboo,right,large,37.0,1370,0.10,0.720,train
sock-01091,heather,yellow,wool,ambiguous,xl,38.9,1393,0.39,0.440,train
sock-01092,chevron,black,cotton,left,small,40.8,1416,0.68,0.910,train
sock-01093,argyle,green,modal,right,medium,42.7,1439,0.97,0.710,train
sock-01094,plain,burgundy,linen,ambiguous,large,44.6,1462,0.26,0.770,train
sock-01095,dots,charcoal,polyblend,left,xl,46.5,1485,0.55,0.640,train
sock-01096,stripes,teal,bamboo,right,small,48.4,608,0.84,0.640,train
sock-01097,tiny-stars,white,wool,ambiguous,medium,50.3,631,0.13,0.380,train
sock-01098,ribbed,coral,cotton,left,large,52.2,654,0.42,0.830,train
sock-01099,heather,lavender,modal,right,xl,54.1,677,0.71,0.770,train
sock-01100,chevron,navy,linen,ambiguous,small,56.0,700,0.00,0.800,train
sock-01101,argyle,yellow,polyblend,left,medium,57.9,723,0.29,0.600,train
sock-01102,plain,black,bamboo,right,large,59.8,746,0.58,0.810,train
sock-01103,dots,green,wool,ambiguous,xl,61.7,769,0.87,0.460,train
sock-01104,stripes,burgundy,cotton,left,small,63.6,792,0.16,0.840,train
sock-01105,tiny-stars,charcoal,modal,right,medium,65.5,815,0.45,0.780,train
sock-01106,ribbed,teal,linen,ambiguous,large,67.4,838,0.74,0.720,train
sock-01107,heather,white,polyblend,left,xl,69.3,861,0.03,0.590,train
sock-01108,chevron,coral,bamboo,right,small,71.2,884,0.32,0.660,train
sock-01109,argyle,lavender,wool,ambiguous,medium,24.1,907,0.61,0.420,train
sock-01110,plain,navy,cotton,left,large,26.0,930,0.90,0.640,train
sock-01111,dots,yellow,modal,right,xl,27.9,953,0.19,0.790,train
sock-01112,stripes,black,linen,ambiguous,small,29.8,976,0.48,0.820,train
sock-01113,tiny-stars,green,polyblend,left,medium,31.7,999,0.77,0.670,train
sock-01114,ribbed,burgundy,bamboo,right,large,33.6,1022,0.06,0.670,train
sock-01115,heather,charcoal,wool,ambiguous,xl,35.5,1045,0.35,0.480,train
sock-01116,chevron,teal,cotton,left,small,37.4,1068,0.64,0.490,train
sock-01117,argyle,white,modal,right,medium,39.3,1091,0.93,0.680,train
sock-01118,plain,coral,linen,ambiguous,large,41.2,1114,0.22,0.810,train
sock-01119,dots,lavender,polyblend,left,xl,43.1,1137,0.51,0.680,train
sock-01120,stripes,navy,bamboo,right,small,45.0,1160,0.80,0.770,train
sock-01121,tiny-stars,yellow,wool,ambiguous,medium,46.9,1183,0.09,0.490,train
sock-01122,ribbed,black,cotton,left,large,48.8,1206,0.38,0.590,train
sock-01123,heather,green,modal,right,xl,50.7,1229,0.67,0.810,train
sock-01124,chevron,burgundy,linen,ambiguous,small,52.6,1252,0.96,0.750,train
sock-01125,argyle,charcoal,polyblend,left,medium,54.5,1275,0.25,0.640,train
sock-01126,plain,teal,bamboo,right,large,56.4,1298,0.54,0.760,train
sock-01127,dots,white,wool,ambiguous,xl,58.3,1321,0.83,0.430,train
sock-01128,stripes,coral,cotton,left,small,60.2,1344,0.12,0.510,train
sock-01129,tiny-stars,lavender,modal,right,medium,62.1,1367,0.41,0.820,train
sock-01130,ribbed,navy,linen,ambiguous,large,64.0,1390,0.70,0.850,train
sock-01131,heather,yellow,polyblend,left,xl,65.9,1413,0.99,0.700,train
sock-01132,chevron,black,bamboo,right,small,67.8,1436,0.28,0.790,train
sock-01133,argyle,green,wool,ambiguous,medium,69.7,1459,0.57,0.460,train
sock-01134,plain,burgundy,cotton,left,large,71.6,1482,0.86,0.590,train
sock-01135,dots,charcoal,modal,right,xl,24.5,605,0.15,0.830,train
sock-01136,stripes,teal,linen,ambiguous,small,26.4,628,0.44,0.770,train
sock-01137,tiny-stars,white,polyblend,left,medium,28.3,651,0.73,0.640,train
sock-01138,ribbed,coral,bamboo,right,large,30.2,674,0.02,0.710,train
sock-01139,heather,lavender,wool,ambiguous,xl,32.1,697,0.31,0.520,train
sock-01140,chevron,navy,cotton,left,small,34.0,720,0.60,0.620,train
sock-01141,argyle,yellow,modal,right,medium,35.9,743,0.89,0.790,train
sock-01142,plain,black,linen,ambiguous,large,37.8,766,0.18,0.940,train
sock-01143,dots,green,polyblend,left,xl,39.7,789,0.47,0.720,train
sock-01144,stripes,burgundy,bamboo,right,small,41.6,812,0.76,0.720,train
sock-01145,tiny-stars,charcoal,wool,ambiguous,medium,43.5,835,0.05,0.530,train
sock-01146,ribbed,teal,cotton,left,large,45.4,858,0.34,0.540,train
sock-01147,heather,white,modal,right,xl,47.3,881,0.63,0.410,train
sock-01148,chevron,coral,linen,ambiguous,small,49.2,904,0.92,0.790,train
sock-01149,argyle,lavender,polyblend,left,medium,51.1,927,0.21,0.680,train
sock-01150,plain,navy,bamboo,right,large,53.0,950,0.50,0.890,train
sock-01151,dots,yellow,wool,ambiguous,xl,54.9,973,0.79,0.540,train
sock-01152,stripes,black,cotton,left,small,56.8,996,0.08,0.640,train
sock-01153,tiny-stars,green,modal,right,medium,58.7,1019,0.37,0.490,train
sock-01154,ribbed,burgundy,linen,ambiguous,large,60.6,1042,0.66,0.800,train
sock-01155,heather,charcoal,polyblend,left,xl,62.5,1065,0.95,0.740,train
sock-01156,chevron,teal,bamboo,right,small,64.4,1088,0.24,0.740,train
sock-01157,argyle,white,wool,ambiguous,medium,66.3,1111,0.53,0.430,train
sock-01158,plain,coral,cotton,left,large,68.2,1134,0.82,0.630,train
sock-01159,dots,lavender,modal,right,xl,70.1,1157,0.11,0.500,train
sock-01160,stripes,navy,linen,ambiguous,small,72.0,1180,0.40,0.900,train
sock-01161,tiny-stars,yellow,polyblend,left,medium,24.9,1203,0.69,0.750,train
sock-01162,ribbed,black,bamboo,right,large,26.8,1226,0.98,0.840,train
sock-01163,heather,green,wool,ambiguous,xl,28.7,1249,0.27,0.560,train
sock-01164,chevron,burgundy,cotton,left,small,30.6,1272,0.56,0.570,train
sock-01165,argyle,charcoal,modal,right,medium,32.5,1295,0.85,0.460,train
sock-01166,plain,teal,linen,ambiguous,large,34.4,1318,0.14,0.890,train
sock-01167,dots,white,polyblend,left,xl,36.3,1341,0.43,0.690,train
sock-01168,stripes,coral,bamboo,right,small,38.2,1364,0.72,0.760,train
sock-01169,tiny-stars,lavender,wool,ambiguous,medium,40.1,1387,0.01,0.570,train
sock-01170,ribbed,navy,cotton,left,large,42.0,1410,0.30,0.670,train
sock-01171,heather,yellow,modal,right,xl,43.9,1433,0.59,0.520,train
sock-01172,chevron,black,linen,ambiguous,small,45.8,1456,0.88,0.920,train
sock-01173,argyle,green,polyblend,left,medium,47.7,1479,0.17,0.720,train
sock-01174,plain,burgundy,bamboo,right,large,49.6,602,0.46,0.840,train
sock-01175,dots,charcoal,wool,ambiguous,xl,51.5,625,0.75,0.580,train
sock-01176,stripes,teal,cotton,left,small,53.4,648,0.04,0.590,train
sock-01177,tiny-stars,white,modal,right,medium,55.3,671,0.33,0.460,train
sock-01178,ribbed,coral,linen,ambiguous,large,57.2,694,0.62,0.840,train
sock-01179,heather,lavender,polyblend,left,xl,59.1,717,0.91,0.780,train
sock-01180,chevron,navy,bamboo,right,small,61.0,740,0.20,0.870,train
sock-01181,argyle,yellow,wool,ambiguous,medium,62.9,763,0.49,0.540,train
sock-01182,plain,black,cotton,left,large,64.8,786,0.78,0.760,train
sock-01183,dots,green,modal,right,xl,66.7,809,0.07,0.540,train
sock-01184,stripes,burgundy,linen,ambiguous,small,68.6,832,0.36,0.480,train
sock-01185,tiny-stars,charcoal,polyblend,left,medium,70.5,855,0.65,0.790,train
sock-01186,ribbed,teal,bamboo,right,large,72.4,878,0.94,0.790,train
sock-01187,heather,white,wool,ambiguous,xl,25.3,901,0.23,0.530,train
sock-01188,chevron,coral,cotton,left,small,27.2,924,0.52,0.610,train
sock-01189,argyle,lavender,modal,right,medium,29.1,947,0.81,0.500,train
sock-01190,plain,navy,linen,ambiguous,large,31.0,970,0.10,0.650,train
sock-01191,dots,yellow,polyblend,left,xl,32.9,993,0.39,0.800,train
sock-01192,stripes,black,bamboo,right,small,34.8,1016,0.68,0.890,train
sock-01193,tiny-stars,green,wool,ambiguous,medium,36.7,1039,0.97,0.610,train
sock-01194,ribbed,burgundy,cotton,left,large,38.6,1062,0.26,0.620,train
sock-01195,heather,charcoal,modal,right,xl,40.5,1085,0.55,0.560,train
sock-01196,chevron,teal,linen,ambiguous,small,42.4,1108,0.84,0.500,train
sock-01197,argyle,white,polyblend,left,medium,44.3,1131,0.13,0.690,train
sock-01198,plain,coral,bamboo,right,large,46.2,1154,0.42,0.880,train
sock-01199,dots,lavender,wool,ambiguous,xl,48.1,1177,0.71,0.620,train
sock-01200,stripes,navy,cotton,left,small,50.0,1200,0.00,0.720,train
sock-01201,tiny-stars,yellow,modal,right,medium,51.9,1223,0.29,0.570,train
sock-01202,ribbed,black,linen,ambiguous,large,53.8,1246,0.58,0.600,train
sock-01203,heather,green,polyblend,left,xl,55.7,1269,0.87,0.820,train
sock-01204,chevron,burgundy,bamboo,right,small,57.6,1292,0.16,0.820,train
sock-01205,argyle,charcoal,wool,ambiguous,medium,59.5,1315,0.45,0.580,train
